Transaction_ID,Date,Time,Customer_ID,Customer_Age_Group,Customer_Gender,Product_Category,Product_Name,Unit_Price_INR,Quantity,Discount_Percent,Payment_Mode,Store_Counter,Discount_Amount_INR,Line_Total_INR,Day_Name,Month_Name,Is_Weekend,Time_Slot
TXN-1023,2026-08-22,18:08:00,CUST-549,Senior (51+),Female,Grocery & Staples,Catch Red Chilli Powder 200g,75.0,1,0.0,Credit Card,Counter 4 - Self-Service,0.0,75.0,Saturday,August,1,Evening (16:00-20:00)
TXN-1068,2026-08-22,12:23:00,CUST-559,Young Adult (26-35),Female,Snacks & Beverages,Coca-Cola 750ml,40.0,1,0.0,Credit Card,Counter 1 - Express,0.0,40.0,Saturday,August,1,Afternoon (12:00-16:00)
TXN-1059,2026-08-21,09:59:00,CUST-556,Middle-Aged (36-50),Female,Snacks & Beverages,Cadbury Dairy Milk Silk 60g,85.0,1,15.0,Cash,Counter 4 - Self-Service,12.75,72.25,Friday,August,0,Morning (09:00-12:00)
TXN-1004,2026-08-23,20:11:00,CUST-541,Young Adult (26-35),Male,Snacks & Beverages,Coca-Cola 750ml,40.0,1,10.0,UPI,Counter 4 - Self-Service,4.0,36.0,Sunday,August,1,Night (20:00-22:00)
TXN-1042,2026-08-18,17:20:00,CUST-522,Senior (51+),Male,Household Essentials,Surf Excel Easy Wash Detergent Powder 1kg,140.0,2,0.0,Credit Card,Counter 4 - Self-Service,0.0,280.0,Tuesday,August,0,Evening (16:00-20:00)
TXN-1036,2026-08-20,20:55:00,CUST-533,Senior (51+),Female,Grocery & Staples,Madhur Pure & Hygienic Sugar 1kg,48.0,1,10.0,UPI,Counter 1 - Express,4.8,43.2,Thursday,August,0,Night (20:00-22:00)
TXN-1064,2026-08-24,20:28:00,CUST-510,Middle-Aged (36-50),Male,Dairy & Bakery,Amul Butter 100g,58.0,5,15.0,Cash,Counter 2 - Regular,43.5,246.5,Monday,August,0,Night (20:00-22:00)
TXN-1032,2026-08-18,21:04:00,CUST-545,Young Adult (26-35),Male,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,2,20.0,UPI,Counter 4 - Self-Service,8.0,32.0,Tuesday,August,0,Night (20:00-22:00)
TXN-1071,2026-08-21,12:12:00,CUST-534,Middle-Aged (36-50),Male,Snacks & Beverages,Coca-Cola 750ml,40.0,2,0.0,Debit Card,Counter 1 - Express,0.0,80.0,Friday,August,0,Afternoon (12:00-16:00)
TXN-1005,2026-08-21,16:26:00,CUST-530,Young Adult (26-35),Female,Personal Care,Dove Deep Moisture Body Wash 190ml,135.0,1,5.0,UPI,Counter 3 - General,6.75,128.25,Friday,August,0,Evening (16:00-20:00)
