Transaction_ID,Date,Time,Customer_ID,Customer_Age_Group,Customer_Gender,Product_Category,Product_Name,Unit_Price_INR,Quantity,Discount_Percent,Payment_Mode,Store_Counter
TXN-1023,2026-08-22,18:08:00,CUST-549,Senior (51+),Female,Grocery & Staples,Catch Red Chilli Powder 200g,75.0,1,0.0,Credit Card,Counter 4 - Self-Service
TXN-1068,2026-08-22,12:23:00,CUST-559,Young Adult (26-35),Female,Snacks & Beverages,Coca-Cola 750ml,40.0,1,0.0,Credit Card,Counter 1 - Express
TXN-1059,2026/08/21,09:59:00,CUST-556,Middle-Aged (36-50),Female,Snacks & Beverages,Cadbury Dairy Milk Silk 60g,85.0,1,15.0,Cash,Counter 4 - Self-Service
TXN-1004,2026-08-23,20:11:00,CUST-541,Young Adult (26-35),Male,Snacks & Beverages,Coca-Cola 750ml,40.0,1,10.0,UPI,Counter 4 - Self-Service
TXN-1042,2026/08/18,17:20:00,CUST-522,Senior (51+),Male,Household Essentials,Surf Excel Easy Wash Detergent Powder 1kg,140.0,2,0.0,Credit Card,Counter 4 - Self-Service
TXN-1036,2026/08/20,20:55:00,CUST-533,Senior (51+),Female,Grocery & Staples,Madhur Pure & Hygienic Sugar 1kg,48.0,1,10.0,UPI,Counter 1 - Express
TXN-1064,24-08-2026,20:28:00,CUST-510,Middle-Aged (36-50),Male,Dairy & Bakery,Amul Butter 100g,58.0,5,15.0,Cash,Counter 2 - Regular
TXN-1032,2026/08/18,21:04:00,CUST-545,Young Adult (26-35),Male,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,2,20.0,UPI,Counter 4 - Self-Service
TXN-1071,21-08-2026,12:12:00,CUST-534,Middle-Aged (36-50),Male,Snacks & Beverages,Coca-Cola 750ml,40.0,2,0.0,Debit Card,Counter 1 - Express
TXN-1005,2026/08/21,16:26:00,CUST-530,Young Adult (26-35),Female,Personal Care,Dove Deep Moisture Body Wash 190ml,135.0,1,5.0,UPI,Counter 3 - General
TXN-1074,2026-08-21,19:22:00,CUST-519,Middle-Aged (36-50),Male,Snacks & Beverages,Kurkure Masala Munch 85g,20.0,1,20.0,UPI,Counter 3 - General
TXN-1019,2026/08/20,16:08:00,CUST-508,Senior (51+),Male,Dairy & Bakery,Amul Gold Milk 500ml,33.0,2,10.0,UPI,Counter 4 - Self-Service
TXN-1075,2026-08-18,20:10:00,CUST-533,Young Adult (26-35),Male,Snacks & Beverages,Tata Tea Gold 250g,150.0,1,10.0,UPI,Counter 4 - Self-Service
TXN-1011,2026/08/24,09:35:00,CUST-555,Young Adult (26-35),Male,Dairy & Bakery,Amul Gold Milk 500ml,33.0,1,20.0,UPI,Counter 4 - Self-Service
